п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"93119";"Аптека ""Планета Здоровья""";"Москва, Сущевский Вал, д. 67";"СВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7931779";"37.6227708";"19.09.2024";"#33668858"
"93123";"Аптека ""Планета Здоровья""";"г. Москва, проезд Шокальского д.11";"СВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.87563979999999";"37.6444161";"19.09.2024";"#33668780"
"132287";"ООО «Смарт Фэмили» (Склад)";"Москва г, Юрловский проезд, дом № 2, строение 1";"СВАО";"Гранит";"Мозговой И.В.";"М";"55.8714766";"37.6175896";"19.09.2024";"#33668861"
"ТО-2609";"Мастер отель ИП Громов П В";"г.Москва, ул. Академика Королева 10";"СВАО";"Гранит";"Дубовик А.С.";"М";"55.8233978";"37.6198683";"19.09.2024";"#33668929"
"136101";"ООО «Сдобный Край»/(пекарня «Хлебница»)";"Москва г, Хачатуряна ул, дом 16";"СВАО";"Гранит";"Рощин С.С.";"КВ";"55.8611284";"37.6036428";"18.09.2024";"#33668911"
"136645";"ИП Львов Евгений Александрович, Кладовка ""СКЛАДНО""";"Москва г, Новоалексеевская ул, дом № 23";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8087253";"37.6443472";"11.09.2024";"#33668797"
"№696ТБ";"ООО «СЕТЕВОЙ ДЕВЕЛОПМЕНТ»/Французская пекарня French Bakery Седелис";"Москва г, Новодмитровская ул 2к2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.80454229999999";"37.5903312";"11.09.2024";"#33668792"
"№ 986ТБ";"Прыгунов Владимир Игоревич /Ветеринарная Лаборатория";"Москва г, ул Илимская, д. 4";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6293883";"37.6211039";"10.09.2024";"#38401924"
"ТО-2816";"ИП Камуркина Е.Н. (Детский лофт «MURLOFTIK»)";"Москва г, Нововладыкинский проезд, дом 1, корпус 2";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8502936";"37.57822609999999";"06.09.2024";"#33668915"
"83983";"ООО «Яндекс Маркет» Офис";"Москва, ул. Полковая дом 3";"СВАО";"Аллигатор";"Епуре А.А.";"КВ";"55.7984439";"37.6078221";"05.09.2024";"#33668804"
"133309";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА МОСКВЫ""";"Москва г, Гончарова ул, дом 17, корпус 2";"СВАО";"Нева-2";"Шагров Д.Д.";"М";"55.8177957";"37.5830488";"05.09.2024";"#33668862"
"36549";"Захарова Наталья Алексеевна/Нежилое помещение";"Москва, Берёзовая аллея 17к1";"СВАО";"Гранит";"Гусев П.И.";"М";"55.8503963";"37.6184828";"05.09.2024";"#33668783"
"137951";"ООО ""ИНФОРМАЦИОННЫЕ ПОТОКИ""/Кладовка ""СКЛАДНО""";"Москва ул Полярная, д. 10, стр. 1";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.874562";"37.638174";"05.09.2024";"#37025307"
"1562";"ООО ""Авис Гранд"" салон красоты Эвелин";"Москва, Ростокинская, д.1";"СВАО";"Аллигатор";"(пусто)";"КВ";"55.8359743";"37.6586514";"30.08.2024";"#33668852"
"39800";"ООО ""ОЛИМП"" /Аптека Планета Здоровья";"Пушкино г, Пушкинский р-н, Московская обл мкр.Новая Деревня, Набережная ул, дом 35, корпус 1";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9742341";"37.7838437";"30.08.2024";"#33668813"
"91039";"ИП Правашинский В В магазин ""Школьная форма, одежда и обувь";"МО г. Королёв ул. Циолковского 10";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.9206972";"37.817027";"30.08.2024";"#33668856"
"130926";"ИП Барашков Сергей Борисович (Коммерческое помещение)";"Московская обл, Пушкинский р-н, Пушкино г, Вокзальная ул, владение 2Б";"СВАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"56.03945539999999";"37.8530662";"30.08.2024";"#33668825"
"132631";"ООО ""ЗДОРОВЬЕ""/Аптека Планета Здоровья";"Московская обл, Пушкинский р-н, Пушкино г, Московский пр-кт, дом 5";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"56.0111068";"37.8451059";"30.08.2024";"#33668887"
"132790";"ООО ""ЗДОРОВЬЕ""/Аптека Планета Здоровья";"Московская обл, Пушкинский р-н, Пушкино г, Московский пр-кт, дом 21";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"56.0097251";"37.8521166";"30.08.2024";"#33668886"
"133038";"ООО «Восход»/Пекарня Буханка";"Москва г, Новоалексеевская ул, дом 16, корпус 3";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.807717";"37.6477846";"30.08.2024";"#33668800"
"133075";"ООО ""ЗДОРОВЬЕ""/Аптека Планета Здоровья";"Московская обл, Пушкинский р-н, Пушкино г, Просвещения ул, дом 10, корпус 3";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"56.0264554";"37.8564589";"30.08.2024";"#33668885"
"134867";"ООО «Мой Ломбард»";"Московская обл, Пушкинский р-н, Пушкино г, Вокзальная ул, дом 1с2";"СВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"56.01287";"37.840792";"30.08.2024";"#33668888"
"137615";"ООО «ЭДЕМ»/Стоматология «ПрезиДент»";"Москва , ул Заповедная, д. 16, к. 1";"СВАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.8670154";"37.6386211";"28.08.2024";"#37196995"
"92225";"ООО «Ирамед»/Медицинский офис ""Анализы ДНКОМ""";"Московская обл, Королев г, Циолковского ул, дом 25";"СВАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.9206294";"37.8234492";"27.08.2024";"#33668850"
"131536";"ООО «Орион» (Магазин «Ассортида»)";"Московская обл, Королев г, Пионерская ул, дом № 8Г";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.9137806";"37.8136766";"27.08.2024";"#33668855"
"ТО-№794ТБ";"ИП Шамсутдинов Нематулло Рахматуллаевич/Пекарня";"МО., г.о. Королев г.,ул Пионерская, д. 8г";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.9443882";"37.8541992";"27.08.2024";"#33668924"
"1129";"Аптека ""Планета Здоровья""";"г.Москва, Менжинского д.32к3";"СВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.8699317";"37.6673193";"26.08.2024";"#33668897"
"93076";"Аптека ""Планета Здоровья""";"г. Москва, ул. Дубнинская, д.44а";"СВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.890631";"37.558379";"26.08.2024";"#33668930"
"134419";"ИП Невская О.А. Пекарня Буханка";"Москва г, Складочная ул, дом № 8, корпус 1";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.8020715";"37.5962385";"26.08.2024";"#33668837"
"1278";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»)";"г.Москва, Сущевский вал 59";"СВАО";"Гранит";"Рощин С.С.";"КВ";"55.793611";"37.615215";"23.08.2024";"#33668803"
"45498";"Магазин ""Пиво"" ИП Толмачев";"г.Москва, ул. Летчика Бабушкина, д.31";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.8699781";"37.6758819";"23.08.2024";"#33668910"
"131050";"ООО «ФРЕНДСДЕНТ» (Стоматология ""Family Dent"")";"г. Ивантеевка, ул. Ленина, д. 16";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.9692016";"37.899225";"23.08.2024";"#33668839"
"132313";"ООО «ПРОФИНВЕСТ-3» (Гастромаркет «ЕДА»)";"Москва г, Трифоновская ул, дом № 56";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.7887181";"37.6223634";"23.08.2024";"#32562817"
"151489";"ООО «Мой Ломбард»";"Москва г, Сигнальный проезд, дом № 6А";"СВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.8509981";"37.5880456";"23.08.2024";"#33680596"
"ТО-2691";"ИП Преображенская Мария Владимировна/(магазин одежды MAXLINE)";"Москва г, Лётчика Бабушкина., дом № 21/2";"СВАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.8600615";"37.6739734";"23.08.2024";"#33668935"
"93053";"Аптека Планета Здоровья";"МО, г. Пушкино, Московский проспект 8/2";"СВАО";"Гранит";"Пряшников Д.Ю.";"М";"56.01036999999999";"37.84444999999999";"22.08.2024";"#33668830"
"136784";"ООО «КОСТЯКОВА К» (Гастромаркет «ЕДА»)";"Москва г, Костякова ул, дом № 6/5";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8122554";"37.5722134";"22.08.2024";"#33668828"
"134184";"ИП Хмеленко О.А./Гастроном «Фермер»";"Москва г, Дубнинская ул, дом 12, корпус 2";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.864524";"37.56978";"19.08.2024";"#33668893"
"131855";"ООО «ЦМЗ «МеМенто»";"г. Москва, ул. Ленская, д. 28";"СВАО";"Гранит";"Гаук Е.М.";"КВ";"55.868747";"37.655948";"14.08.2024";"#33668845"
"132462";"ИП Гришаева Ирина Павловна (Табак)";"Москва г, Дмитровское ш, дом 68";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.85867589999999";"37.5597511";"14.08.2024";"#33668833"
"133881";"ТО ПС";"г.Москва , ул.Фонвизина 18";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.8215259";"37.5921513";"14.08.2024";"#33668785"
"133943";"ООО «Виктория» (Медицинский офис INVITRO)";"Москва г, Бутырская ул, дом 9, корпус 1";"СВАО";"Гранит";"Мозговой И.В.";"КВ";"55.7952203";"37.5832658";"14.08.2024";"#33668919"
"ТО-221ТБ";"ИП Табачникова Галина Владимировна (Магазин цветов FlowFix)";"Москва г, Бутырская ул, дом 84";"СВАО";"Технологии Безопасности";"Кузнецов М.А.";"КВ";"55.80674639999999";"37.5827086";"14.08.2024";"#33668920"
"91542";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»)";"Москва, Проспект мира 146";"СВАО";"Гранит";"Рощин С.С.";"КВ";"55.820781";"37.642155";"12.08.2024";"#33668894"
