п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"136095";"ООО «ИНВЕСТ ПРОПЕРТИ»/Гастроном";"Москва г, Перовская ул, дом № 49/53";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.745777";"37.788423";"21.01.2025";"https://durnovcev2000.kaiten.ru/31421864"
"136866";"ИП Львов Евгений Александрович, Кладовка ""СКЛАДНО""";"Москва г, Мартеновская ул, дом № 6, корпус 3";"Одинцово";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7462873";"37.77195690000001";"21.01.2025";"https://durnovcev2000.kaiten.ru/31421976"
"ТО-29";"Салон красоты, ИП Хачатрян";"Москва, Новокосинская 11к1";"Одинцово";"Технологии Безопасности";"-";"КВ";"55.7545561";"37.7768341";"21.01.2025";"#33668840"
"ТО-№ 958ТБ";"ИП ТЯПОВ ДМИТРИЙ ИВАНОВИЧ Кафе ""V Лаваше""";"Москва, ул. Михайлова, дом 30 А, корп. 4";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7248995";"37.7735458";"21.01.2025";"#36531020"
"138625";"ИП Мирошниченко Е.С. пекарня Буханка";"Москва, Новосередневский, д. 19";"Одинцово";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.755826";"37.6173";"21.01.2025";"https://durnovcev2000.kaiten.ru/45238626"
"137821";"ИП Кузнецова Яна Дмитриевна/Кофейня Surf Coffee";"Москва г, б-р Кронштадтский, д. 6, к1";"Одинцово";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.84152109999999";"37.4944717";"20.01.2025";"https://durnovcev2000.kaiten.ru/35756190"
"83952";"ООО ""Авоська-два""";"г. Москва, проспект Буденного, дом 28";"Одинцово";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.764561";"37.732269";"20.01.2025";"#31422550"
"133164";"ИП Воробьёв Евгений Юрьевич, магазин Нумизмат";"Москва г, Будённого пр-кт, дом 51, корпус 1";"Одинцово";"Технологии Безопасности";"Кривошеев";"КВ";"55.7937772";"37.7132993";"20.01.2025";"#31421526"
"№ 368ТБ";"ООО ""ПАРК ИНВЕСТ ГРУПП""/Коммерческое помещение WB,";"Москва г, Вильнюсская ул, дом 5";"Одинцово";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.6037958";"37.5230744";"20.01.2025";"https://durnovcev2000.kaiten.ru/33814864"
"134262";"ООО ""МАМИЛА"", Аптека ""ФармЛенд""";"г. Москва, Авиамоторная, д. 20/17";"Одинцово";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.749604";"37.71732799999999";"20.01.2025";"https://durnovcev2000.kaiten.ru/41147672"
"133672";"ООО ""ГРАНТ""/ Аптека Планета Здоровья";"Московская обл, Люберцы г, Октябрьский рп, Западный мкр., Школьная ул , дом 1";"Одинцово";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6808134";"37.8887253";"13.01.2025";"#32562554"
"136282";"Просветова Юлия Валерьевна (Детский клуб Бэби-клуб на Таганке)";"Москва г, Талалихина ул, дом 1, корпус 2";"Одинцово";"Нева-2";"Ахметкалиев Ф.Х.";"КВ";"55.7357028";"37.6780807";"13.01.2025";"https://durnovcev2000.kaiten.ru/33814895"
"134479";"Магазин пиво и кофе";"Красногорск, Заповедная ул., 10 п. Ильинское-Усово";"Одинцово";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.7704967";"37.2203934";"13.01.2025";"https://durnovcev2000.kaiten.ru/33680152"
"133172";"ООО «Вкусные традиции» / Гастроном Ассортида";"Москва г, Бескудниковский б-р, дом № 55, корпус 1";"Одинцово";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.8679443";"37.5575795";"10.01.2025";"https://durnovcev2000.kaiten.ru/33680740"
"136065";"ИП Семенкова Екатерина Александровна/(«Маковка»)";"Люберцы г, Преображенская ул, дом 4";"Одинцово";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.6848855";"37.9099775";"09.01.2025";"https://durnovcev2000.kaiten.ru/32562265"
"93389";"ООО ""ПИТ-СТОП СЕРВИС""/АвтоТехЦентр";"Московская обл, Люберцы г, Инициативная ул, дом 50";"Одинцово";"Технологии Безопасности";"Михно С.С.";"КВ";"55.681911";"37.910568";"09.01.2025";"https://durnovcev2000.kaiten.ru/32562592"
"N 597ТБ";"М-н ""место пива""";"Московская обл, Красногорск г, Глухово д, Романовская ул, дом 13, помещение 3";"Одинцово";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.772385";"37.2540456";"29.12.2024";"https://durnovcev2000.kaiten.ru/33680662"
"№ 728ТБ";"ИП Субботин Роман Александрович/Магазин Фейерверки";"Московская обл, Люберцы г, Октябрьский пр-кт, дом № 366";"Одинцово";"Технологии Безопасности";"Михно С.С.";"КВ";"55.6623738";"37.9107084";"27.12.2024";"https://durnovcev2000.kaiten.ru/32562027"
"ТО№ 435ТБ";"ИП Лезина Екатерина Викторовна/Маникюрная Студия";"Москва г, Духовской пер, дом 17, строение 15";"Одинцово";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.703876";"37.6158899";"23.12.2024";"https://durnovcev2000.kaiten.ru/32562702"
"138534";"ИП Федотов Владислав Сергеевич, Кладовка ""СКЛАДНО""";"Москва, бульвар Матроса Железняка, д. 26/11";"Одинцово";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.834516";"37.529547";"17.12.2024";"https://durnovcev2000.kaiten.ru/43402085"
"138165";"ООО «ГАСТРОЕВСКИЙ» / Гастроном";"Московская область, г. Балашиха, ул. Свердлова, дом 16/5";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8218507";"37.9696552";"13.12.2024";"https://durnovcev2000.kaiten.ru/38830042"
"131923";"МО МОЦОМД КХН 4 этаж";"Люберцы Мира 6";"Одинцово";"-";"Дубовик А.С.";"М";"55.6808134";"37.8887253";"11.12.2024";"https://durnovcev2000.kaiten.ru/32562153"
"135039";"ООО «ТГК» (Магазин «ЦентрФуд»)";"Москва г, Преображенская пл, дом 2";"Одинцово";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.794958";"37.709075";"11.12.2024";"https://durnovcev2000.kaiten.ru/space/328069/boards/card/31422644"
