 ";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"134933";"ВКУСНО ООО Пекарня Буханка";"Москва г, Вернадского пр-кт, дом 54";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6733021";"37.4947662";"20.04.2025";"https://durnovcev2000.kaiten.ru/33814830"
"132293";"ООО ""Альфа""/ аптека Планета Здоровья";"Москва г, Вернадского пр-кт, дом № 73";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6824034";"37.5170778";"20.04.2025";"https://durnovcev2000.kaiten.ru/33814896"
"134798";"ИП Воротиленко Иван Анатольевич (Пункт выдачи заказов ОЗОН)";"Москва г, Вернадского пр-кт, дом № 69";"ЮЗАО+ЗАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.6824034";"37.5170778";"20.04.2025";"https://durnovcev2000.kaiten.ru/33814906"
"133998";"ИП Шевченко Людмила Владимировна (Бутик: лаборатория стиля)";"Москва г, Профсоюзная ул, дом 24, корпус 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.6868633";"37.5745397";"19.04.2025";"https://durnovcev2000.kaiten.ru/33814764"
"137343";"ИП Золотаревская Евгения Геннадьевна / Кофейня «Surf Coffee x Yakimanka""";"Москва г, ул Большая Якиманка, д. 50";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7320876";"37.611728";"16.04.2025";"https://durnovcev2000.kaiten.ru/34415058"
"130339";"ООО ""Рантье"", ""Инвитро""";"Москва Комсомольский пр-т, д. 25, к.1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"КВ";"55.72658089999999";"37.5822439";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814828"
"131496";"Гастроном. ООО Комсомольский";"Москва. Комсомольский проспект 27 корпус 5.";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.726055";"37.5814793";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814816"
"134000";"ООО «ЗОВ-ЛЕНЕВРОМЕБЕЛЬ-РУС»";"Москва г, Комсомольский пр-кт, дом 19";"ЮЗАО+ЗАО";"Эсток-Сервис";"Калиниченко А.С.";"КВ";"55.72888159999999";"37.5854857";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814858"
"132861";"Спортивная Центр Флебологии";"Москва улица 10-летия Октября, 9";"ЮЗАО+ЗАО";"Аллигатор";"Ахметвалиева В.М.";"М";"55.7255793";"37.56315439999999";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814878"
"133129";"ООО «Столичный Гастроном»/Гастроном ""Столичный""";"Москва 3-я Фрунзенская ул 9";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.72117";"37.576903";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814872"
"138525";"ООО ""Фанагория-Розничная Сеть"", Магазин «Фанагория» № 163";"Москва, пр-кт Севастопольский, д. 19, корпус 1";"ЮЗАО+ЗАО";"Гранит";"Милованова Т.";"КВ";"55.67813599999999";"37.594905";"15.04.2025";"https://durnovcev2000.kaiten.ru/43078500"
"ТО- № 404ТБ";"ООО ""АНДРОМЕДА"" (Медицинский центр ""СMD"" - анализы)";"Москва г, Ломоносовский пр-кт, дом 23";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6916502";"37.5365797";"15.04.2025";"https://durnovcev2000.kaiten.ru/33814808"
"137667";"ООО «Управленческие Решения», Кладовка ""СКЛАДНО""";"г. Москва, ул. Крупской, д. 8, к. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.684095";"37.529261";"15.04.2025";"https://durnovcev2000.kaiten.ru/34829432"
