 ";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"151688";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва, проезд 2-й Нагатинский, 2/2, корп. 1";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.67642559999999";"37.641869";"10.03.2025";"https://durnovcev2000.kaiten.ru/40813380"
"93259";"ИП Архангельский Роман Эдуардович, магазин Велодрайв";"Москва, Нижегородская 5,";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.738907";"37.677965";"10.03.2025";"https://durnovcev2000.kaiten.ru/33814770"
"130118";"ООО ""Парацельс""/Планета Здоровья";"г. Москва, проспект Одоевского д.11";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.599033";"37.51619100000001";"10.03.2025";"https://durnovcev2000.kaiten.ru/33814882"
"93110";"ООО парацельс планета здоровья";"Москва, ул. Пырьева 5А";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.725933";"37.526287";"10.03.2025";"https://durnovcev2000.kaiten.ru/33142648"
"№ 976ТБ";"ООО «ДжиДжиКо» (Коворкинг";"Москва ул 1-я Машиностроения, д. 4, к. 3";"ЮЗАО+ЗАО";"Технологии Безопасности";"Вершинина Е.В.";"М";"55.7134801";"37.6686637";"10.03.2025";"https://durnovcev2000.kaiten.ru/39186099"
"90051";"МРО Церковь христиан веры евангельской «Благая весть»";"Москва, ул Гримау, д. 10А, стр. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.6901924";"37.5786994";"09.03.2025";"https://durnovcev2000.kaiten.ru/40812926"
"131802";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»)";"Москва, ул. Обручева, д.16, к 1,";"ЮЗАО+ЗАО";"Гранит";"Рощин С.С.";"КВ";"55.658877";"37.514167";"07.03.2025";"https://durnovcev2000.kaiten.ru/33814790"
"134842";"ИП Голева Надежда Ивановна/нежилые помещения";"Москва г, Островитянова ул, дом 5";"ЮЗАО+ЗАО";"Технологии Безопасности";"Супонников М.С.";"КВ";"55.6449563";"37.4941554";"07.03.2025";"https://durnovcev2000.kaiten.ru/33814873"
"138549";"ООО «ДП-1» / Гастроном на Профсоюзной";"Москва, Профсоюзная улица, дом 142, корп.1, стр.1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.625528";"37.509222";"07.03.2025";"https://durnovcev2000.kaiten.ru/43401275"
"85145";"ИП Антипин Александр Николаевич (салон оптика)";"Москва, Серпуховский пер., д. 7, стр.1";"ЮЗАО+ЗАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.725736";"37.623235";"06.03.2025";"https://durnovcev2000.kaiten.ru/33814900"
"131889";"ООО ""ГОРИЗОНТ-М"", Магазин ""Алкотека""";"Москва, Набережная Марка Шагала, д.1, корп.1";"ЮЗАО+ЗАО";"Гранит";"Озеров С.";"КВ";"55.700720";"37.631523";"06.03.2025";"https://durnovcev2000.kaiten.ru/33814818"
"138064";"ООО ""Планета Здоровья Холдинг""";"Москва г, ул Пырьева, д. 16";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.72870899999999";"37.524299";"06.03.2025";"https://durnovcev2000.kaiten.ru/37347016"
"131577";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Архитектора Щусева ул, дом № 2, корпус 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6991113";"37.6352099";"06.03.2025";"https://durnovcev2000.kaiten.ru/37878187"
"151689";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва, проезд Электролитный, д. 7";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.672771";"37.619152";"06.03.2025";"https://durnovcev2000.kaiten.ru/40831472"
"90190";"ООО ""Фанагория-РС"" (магазин ""Вина Фанагории"")";"г.Москва, ул. Большая Серпуховская 31/11";"ЮЗАО+ЗАО";"Гранит";"Фомичева";"М";"55.722685";"37.627544";"06.03.2025";"https://durnovcev2000.kaiten.ru/33814810"
"132470";"ООО ""ГОРИЗОНТ-М"", Магазин ""Алкотека""";"Москва , ул. Гжатская 5к1";"ЮЗАО+ЗАО";"Гранит";"Озеров С.";"КВ";"55.7146493";"37.4360928";"05.03.2025";"https://durnovcev2000.kaiten.ru/33680915"
"131071";"ИП Соболев Владимир Андреевич, (магазин продукты Ассортида)";"Москва, ул. Ковшовой Наташи, д. 6Б";"ЮЗАО+ЗАО";"Гранит";"Калиниченко А.С.";"КВ";"55.683631";"37.452997";"05.03.2025";"https://durnovcev2000.kaiten.ru/33814833"
"ТО-19281";"ИП Гаврилова Анастасия Владимировна/Барбершоп «ТЫЛЕГЕНДА»";"Москва г, Мытная ул, дом 27";"ЮЗАО+ЗАО";"Гранит";"Воробьев";"КВ";"55.7158612";"37.6200488";"05.03.2025";"https://durnovcev2000.kaiten.ru/32562444"
"134148";"ООО «Компания Левел» (Центр Развития ""EDULEVEL"")";"Москва г, Академика Виноградова ул, дом 9";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6337026";"37.4865283";"05.03.2025";"https://durnovcev2000.kaiten.ru/33814908"
"134920";"ИП Глущенко Ольга Александровна (Кафе « Виноград»";"Москва г, Академика Виноградова ул, дом 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.63187989999999";"37.4828591";"05.03.2025";"https://durnovcev2000.kaiten.ru/33814911"
"151673";"ООО «ВКУСНО»/Пекарня Буханка";"Москва г, ул Озёрная, д. 44";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.667665";"37.440245";"05.03.2025";"https://durnovcev2000.kaiten.ru/40699358"
"151683";"ООО «Вкусно»/Пекарня Буханка";"Москва Варшавское шоссе, д. 141, к. 10";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.589203";"37.602714";"05.03.2025";"https://durnovcev2000.kaiten.ru/40681678"
"137323";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва г, ул Вильнюсская, д. 6";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.604132";"37.521315";"05.03.2025";"https://durnovcev2000.kaiten.ru/32935467"
"39135";"ООО Магазин Авоська два";"Москва, Рублевское щоссе 99 корп 1";"ЮЗАО+ЗАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.7512949";"37.4083592";"05.03.2025";"https://durnovcev2000.kaiten.ru/33680867"
"136788";"ИП Суханов Вячеслав Валерьевич / Бар «Крафт Мафия»";"Москва ул Архитектора Щусева, д. 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.6997643";"37.6370168";"04.03.2025";"https://durnovcev2000.kaiten.ru/33814856"
"133648";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ГОРОДА а МОСКВЫ""";"Москва, ул. Бахрушина, 28";"ЮЗАО+ЗАО";"Нева-Технологии";"Дубовик А.С.";"М";"55.7324033";"37.6370263";"04.03.2025";"https://durnovcev2000.kaiten.ru/33814937"
"90798";"ООО «КРАСИВАЯ ПРОФЕССИЯ» («Красивая Профессия»";"Москва г, 60-летия Октября пр-кт, дом 5, корпус 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Ахметкалиев Ф.Х.";"КВ";"55.7049929";"37.5812548";"03.03.2025";"https://durnovcev2000.kaiten.ru/33814853"
"151667";"ООО «ФОРТУНА» (Гастроном";"Москва г, Университетский пр-кт, дом 4";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6973812";"37.5531354";"03.03.2025";"https://durnovcev2000.kaiten.ru/33814855"
"131863";"ООО ""ГОРИЗОНТ-М"", Магазин ""Алкотека""";"г.Москва, ул.Вавилова, 4";"ЮЗАО+ЗАО";"Гранит";"Озеров С.";"КВ";"55.709207";"37.589925";"03.03.2025";"https://durnovcev2000.kaiten.ru/33814796"
"№ 5897";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Загородное ш, дом 6, корпус 1";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.694289";"37.6062914";"03.03.2025";"https://durnovcev2000.kaiten.ru/32511215"
"1127";"торговые помещения";"Москва, Пятницкий переулок 8с1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Супонников М.С.";"КВ";"55.7429169";"37.6297285";"27.02.2025";"https://durnovcev2000.kaiten.ru/33814766"
"130321";"ООО «ВООДОО» (Кофейня VooDoo (Вуду))";"Москва г, Дружбы ул, дом 10/32";"ЮЗАО+ЗАО";"Гранит";"Калиниченко А.С.";"КВ";"55.7081347";"37.51395309999999";"27.02.2025";"https://durnovcev2000.kaiten.ru/33814857"
"134944";"ООО «ПРОФИНВЕСТ-8» (Кафе «ПитСтоп»)";"Москва г, Мастеркова ул, дом 6А, строение 4";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7076018";"37.6567328";"27.02.2025";"https://durnovcev2000.kaiten.ru/33814767"
"1243";"ООО ""НАТУРА СИБЕРИКА""/Магазин «Organic Shop»";"Москва г, Пятницкая ул, дом № 31, строение 3";"ЮЗАО+ЗАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7382018";"37.6282054";"27.02.2025";"https://durnovcev2000.kaiten.ru/33814914"
"134859";"ООО «Сдобный Край»/«Пекарня»";"Москва г, Пятницкий пер, дом 8, строение 1";"ЮЗАО+ЗАО";"Гранит";"Гаук Е.М.";"КВ";"55.742887";"37.62976099999999";"27.02.2025";"https://durnovcev2000.kaiten.ru/33814804"
"82111";"ИП Лучникова М.М./ Салон красоты ""Монэ""";"Москва г, Пятницкая ул, дом № 65/10";"ЮЗАО+ЗАО";"Гранит";"Супонников М.С.";"КВ";"55.7382018";"37.6282054";"27.02.2025";"https://durnovcev2000.kaiten.ru/32562428"
"134430";"ИП Оруджов Д.М./кофейня SEDELICE (French Bakery)";"Москва г, Шаболовка ул, дом 30/12";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.719367";"37.608799";"26.02.2025";"https://durnovcev2000.kaiten.ru/32562276"
"138717";"Ильина Екатерина Сергеевна / Студия Красоты";"Москва, Ленинский проспект, дом 154";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.653121";"37.488215";"26.02.2025";"https://durnovcev2000.kaiten.ru/45971981"
"133162";"ООО «Восход»/Пекарня Буханка";"Москва г, Большая Филевская,3к1";"ЮЗАО+ЗАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.751644";"37.516260";"25.02.2025";"https://durnovcev2000.kaiten.ru/33681308"
"132925";"ИП Артюхова Валерия Андреевна/ Салон красоты Look & beauty lab";"Москва г, Мичуринский пр-кт, дом № 16, этаж 1";"ЮЗАО+ЗАО";"Гранит";"Полубояринов";"КВ";"55.6929212";"37.4902844";"25.02.2025";"https://durnovcev2000.kaiten.ru/33814834"
"134032";"Пункт выдачи заказов ОЗОН";"Москва г, Мичуринский пр-кт, дом № 21, корпус 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.6929212";"37.4902844";"25.02.2025";"https://durnovcev2000.kaiten.ru/33814907"
"301-ТБ";"ИП Саломатина Инна Евгеньевна/Салон красоты «In Salon»";"Москва г, Нежинская ул, дом 5, корпус 2";"ЮЗАО+ЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.71584";"37.474561";"21.02.2025";"https://durnovcev2000.kaiten.ru/33681411"
"138569";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва, ул Нежинская, д. 13";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.70831829999999";"37.4699719";"20.02.2025";"https://durnovcev2000.kaiten.ru/44136501"
"130040";"ИП Сергеичева Ирина Михайловна/Детский центр раннего развития «Funscool»";"Москва г, Новаторов ул, дом № 4, корпус 5.";"ЮЗАО+ЗАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.6647873";"37.5173252";"17.02.2025";"https://durnovcev2000.kaiten.ru/33814842"
"91102";"Стоматология ""ТИП-ТОП""";"Москва, Ленинский проспект, д. 131";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.6431716";"37.4725678";"17.02.2025";"https://durnovcev2000.kaiten.ru/33814866"
"134853";"ИП Говорова Ольга Павловна (Магазин «Салон Кухонной Мебели»)";"Москва г, Ленинский пр-кт, дом 45";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.70254019999999";"37.5759675";"17.02.2025";"https://durnovcev2000.kaiten.ru/33814891"
"136729";"ИП Ражба Алексей Яковлевич/Кладовка ""СКЛАДНО""";"Москва г, Ленинский пр-кт, дом № 88, корпус 3";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.6676387";"37.4993894";"17.02.2025";"https://durnovcev2000.kaiten.ru/33814913"
"136902";"ИП Ашихмина Марина Александровна (Цветы «Пан Тюльпан»)";"Москва г, вн.тер.г. муниципальный округ Ломоносовский, пр-кт Ленинский, д. 78";"ЮЗАО+ЗАО";"Технологии Безопасности";"Вершинина Е.В.";"КВ";"55.682693";"37.5362099";"17.02.2025";"https://durnovcev2000.kaiten.ru/34415060"
"133197";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7052019";"37.6327695";"15.02.2025";"https://durnovcev2000.kaiten.ru/37877860"
"192193";"ООО «ГОРА» (Кафе Чеми мезобели)";"Москва, ул Обручева, д. 11";"ЮЗАО+ЗАО";"Технологии Безопасности";"Сафин М.С.";"КВ";"55.66000390000001";"37.51536840000001";"14.02.2025";"https://durnovcev2000.kaiten.ru/46226830"
"91103";"ООО ""МЦ"" Стоматология ""ТИП-ТОП"",";"Москва, ул. Озерная, д. 4/2";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.687639";"37.465466";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814932"
"134799";"ИП Воротиленко Иван Анатольевич (Пункт выдачи заказов ОЗОН)";"Москва г, Лобачевского ул, дом № 4, корпус 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.6778553";"37.4835675";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814784"
"137434";"ООО «Время Слуха»/""Центр Слуха. Слуховые аппараты""";"Москва г, пр-кт Вернадского, д. 24А, помещ. 2/1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6745847";"37.5005281";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814881"
"134526";"МЦ ""CMD-анализы"", ООО ""Профмед""";"г. Москва, пр-кт Вернадского 70 А";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.67176660000001";"37.4954351";"13.02.2025";"https://durnovcev2000.kaiten.ru/37397525"
"90371";"Пекарня ""Буханка""";"Москва, ул. Озерная, д. 2/3,";"ЮЗАО+ЗАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.688556";"37.4682874";"13.02.2025";"https://durnovcev2000.kaiten.ru/32562458"
"137576";"ООО «Храмина» / Пекарня «Буханка»";"Москва г, ул Академика Варги, д. 40";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.63235599999999";"37.479925";"08.02.2025";"https://durnovcev2000.kaiten.ru/34579725"
"1124 ОС 1125 КТС";"ЗАО ""МПО Электромонтаж"" офис продаж, складское помещение";"Москва Академика Варги, д.4A";"ЮЗАО+ЗАО";"Аллигатор";"Супонников М.С.";"КВ";"55.6312581";"37.4782206";"08.02.2025";"https://durnovcev2000.kaiten.ru/33814759"
"138169";"ИП Харабрина Татьяна Сергеевна (Бизнес-объект ""Кладовкин"")";"ул Большая Очаковская, д. 23/8";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.680765";"37.453854";"31.01.2025";"https://durnovcev2000.kaiten.ru/38394377"
"83827";"ООО Регул (массажный салон Вай Тай";"Москва, Краснохолмаская наб. 13, стр. 1";"ЮЗАО+ЗАО";"Аллигатор";"Супонников М.С.";"КВ";"55.73547139999999";"37.6515734";"28.01.2025";"https://durnovcev2000.kaiten.ru/33814787"
"132776";"ИП Лапаева Вера Сергеевна, /Пекарня Буханка";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.7052019";"37.6327695";"24.01.2025";"https://durnovcev2000.kaiten.ru/32562661"
"1151";"ООО «КЛИНИКА СВЕТЛАНЫ ЖИМБУЕВОЙ";"Москва, улица Большая Якиманка, 32";"ЮЗАО+ЗАО";"Технологии Безопасности";"Бурлакова Д.М.";"КВ";"55.7348491";"37.6124122";"23.01.2025";"https://durnovcev2000.kaiten.ru/space/307074/boards/card/42859352"
"№ 1109ТБ";"Москва г, Якиманка Б. ул, дом № 52";"Москва г, Якиманка Б. ул, дом 52";"ЮЗАО+ЗАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.7348491";"37.6124122";"23.01.2025";"https://durnovcev2000.kaiten.ru/32562073"
"91722";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Вильнюсская ул, дом 5";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6037958";"37.5230744";"20.01.2025";"https://durnovcev2000.kaiten.ru/33814795"
"№ 368ТБ";"ООО ""ПАРК ИНВЕСТ ГРУПП""/Коммерческое помещение WB,";"Москва г, Вильнюсская ул, дом 5";"ЮЗАО+ЗАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.6037958";"37.5230744";"20.01.2025";"https://durnovcev2000.kaiten.ru/33814864"
"№ 456ТБ";"ИП Закирзянов Ринат Раисович/Магазин разливного пива ""Место Пиво""";"Москва г, Архитектора Щусева ул, дом 3";"ЮЗАО+ЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.69958099999999";"37.6356478";"17.01.2025";"https://durnovcev2000.kaiten.ru/33814848"
"131044";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»";"Москва, Волгоградский проспект, д.3/5";"ЮЗАО+ЗАО";"Гранит";"Рощин С.С.";"КВ";"55.732104";"37.671954";"13.01.2025";"https://durnovcev2000.kaiten.ru/33814837"
"136282";"Просветова Юлия Валерьевна (Детский клуб Бэби-клуб на Таганке)";"Москва г, Талалихина ул, дом 1, корпус 2";"ЮЗАО+ЗАО";"Нева-2";"Ахметкалиев Ф.Х.";"КВ";"55.7357028";"37.6780807";"13.01.2025";"https://durnovcev2000.kaiten.ru/33814895"
"ТО№ 435ТБ";"ИП Лезина Екатерина Викторовна/Маникюрная Студия";"Москва г, Духовской пер, дом 17, строение 15";"ЮЗАО+ЗАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.703876";"37.6158899";"23.12.2024";"https://durnovcev2000.kaiten.ru/32562702"
"137111";"ООО ""МАМИЛА"", Аптека ""ФармЛенд""";"Москва г, вн.тер.г. муниципальный округ Даниловский, ул Автозаводская, д. 11";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.7038816";"37.6345669";"15.11.2024";"https://durnovcev2000.kaiten.ru/33814918"
"151676";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва, ул Веерная, д. 3, к. 1";"ЮЗАО+ЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.708587";"37.479429";"12.11.2024";"https://durnovcev2000.kaiten.ru/40682979"
"132704";"ООО ""Альфа""/ аптека Планета Здоровья";"Москва г, Таганская ул, дом № 31/22";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7400175";"37.6629419";"07.11.2024";"https://durnovcev2000.kaiten.ru/33814921"
"ТО№ 440ТБ";"ИП Дойников Алексей Андреевич (Интернет-Магазин «GoDron»)";"Москва г, 1-я Дубровская ул, дом № 12";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7262516";"37.6703562";"07.11.2024";"https://durnovcev2000.kaiten.ru/33814924"
"ТО-2163";"Стоматология ""ТИП-ТОП""";"г.Москва, Мичуринский проспект, Олимпийская деревня д. 16";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.6724946";"37.4629589";"16.10.2024";"#33814793"
"90388";"Стоматология ""ТИП-ТОП""";"г.Москва, Мичуринский проспект, Олимпийская деревня д. 16";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.6724946";"37.4629589";"16.10.2024";"https://durnovcev2000.kaiten.ru/33814793"
"136021";"ООО «НАХИМОВСКИЙ К» (Гастромаркет ""ЕДА"")";"Москва г, Нахимовский пр-кт, дом № 67";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6706223";"37.5849299";"08.10.2024";"https://durnovcev2000.kaiten.ru/33814815"
"91859";"ООО Тонирус";"Москва, Литовский бульвар 9/7";"ЮЗАО+ЗАО";"Гранит";"Захарин";"КВ";"55.6130619";"37.5402106";"24.06.2024";"https://durnovcev2000.kaiten.ru/33814772"
"№ 319ТБ";"ООО «ИНТЕР-ФАКТУРА», Шоу-рум «StolStoya»";"Москва г, Намёткина ул, дом № 8, строение 1";"ЮЗАО+ЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.6638873";"37.550079";"17.04.2024";"#33814844"
"134352";"ООО «РЕСУРС-1», Гастроном";"Москва г, Университетский пр-кт, дом № 1/62";"ЮЗАО+ЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7056146";"37.5368493";"05.04.2024";"https://durnovcev2000.kaiten.ru/33814820
