п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"131285";"ООО ""Восток"" аптека ""Планета Здоровья""";"г. Москва, ул. Лухмановская, д. 24";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.722119";"37.9056039";"22.01.2025";"#32562968"
"130607";"аптека Планета Здоровья";"МО, г. Люберцы, ул. Камова д. 12";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7018035";"37.8739433";"22.01.2025";"#32563031"
"138340";"ИП Зеленская Наталья Анатольевна/(Салон красоты – Метаморфоза)";"Люберцы,  ул Камова, д. 5, к. 2";"ЮВАО";"Технологии Безопасности";"Максимов М.Ю.";"КВ";"55.705972";"37.87117";"22.01.2025";"https://durnovcev2000.kaiten.ru/space/306672/boards/card/41271461"
"134102";"ООО «Система»/Пекарня Буханка";"Москва г, Михайлова ул, дом 30А, корпус 4";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7248995";"37.7735458";"21.01.2025";"#32562303"
"134475";"ООО «ВКУСНО»/Пекарня Буханка";"Москва г, Михайлова ул, дом № 30а, корпус 5";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7252517";"37.7740529";"21.01.2025";"#32562304"
"93374";"ИП Кузнецов, парикмахерская Цирюльникъ";"Москва, Святоозерская 14, пом. 4";"ЮВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.713345";"37.8870854";"21.01.2025";"#32562528"
"90971";"Аптека ""Планета Здоровья""";"г.Москва, ул. Покровская 16";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.75915380000001";"37.6457661";"21.01.2025";"#32563073"
"138243";"ИП Чебан Татьяна Александровна";"Люберцы, ул Авиаконструктора Миля, д. 1";"ЮВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.6817392";"37.8572247";"21.01.2025";"#40075627"
"ТО-№ 958ТБ";"ИП ТЯПОВ ДМИТРИЙ ИВАНОВИЧ Кафе ""V Лаваше""";"Москва, ул. Михайлова, дом 30 А, корп. 4";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7248995";"37.7735458";"21.01.2025";"#36531020"
"138375";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва, ул Михайлова, д. 30А, к. 2";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.7248995";"37.7735458";"21.01.2025";"https://durnovcev2000.kaiten.ru/space/355641/card/41270656"
"1619";"ИП Семено Богдан Александрович (Производственное здание 2-х этажное)";"Люберцы, ул Авиаконструктора Миля, д. 1";"ЮВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.666751";"37.929018";"21.01.2025";"https://durnovcev2000.kaiten.ru/space/353259/boards/card/44344258"
"138486";"ИП Семено Богдан Александрович (Производственное здание 1-этажное)";"Люберцы, ул Авиаконструктора Миля, д. 1";"ЮВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.6817392";"37.8572247";"21.01.2025";"https://durnovcev2000.kaiten.ru/space/307074/boards/card/44345167"
"138487";"ИП Семено Богдан Александрович (Производственная база «Ангар»)";"Люберцы, ул Авиаконструктора Миля, д. 1";"ЮВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.6817392";"37.8572247";"21.01.2025";"https://durnovcev2000.kaiten.ru/space/353259/boards/card/43650607"
"131788";"ООО «Альфа» аптека Планета Здоровья";"г. Москва ул. Покровская д 31";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.760679";"37.6496026";"20.01.2025";"#32562235"
"ТО№249ТБ";"ООО «МЕДСТАРС» (Коммерческое помещение)";"Москва г, Сайкина ул, дом 1/2";"ЮВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.708807";"37.669236";"20.01.2025";"#32562325"
"1136";"ООО «ТЕРРИТОРИЯ», магазин охоты (СКЛАД)";"Москва г, Сайкина ул, дом № 9/1";"ЮВАО";"Гранит";"Супонников М.С.";"КВ";"55.7060057";"37.6670347";"20.01.2025";"#32562330"
"93064";"Аптека ""Планета Здоровья """;"г. Москва.,ул. 5-я Кожуховская д.12";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7050884";"37.6688518";"20.01.2025";"#32562930"
"93072";"Аптека ""Планета Здоровья""";"г. Москва, Волгоградский проспект д.63 пом 57";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.70996599999999";"37.7354074";"20.01.2025";"#32562943"
"131195";"ООО ""Парацельс"", аптека Планета Здоровья";"г. Москва, ул. Волгоградский проспект, д. 119/22";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.706453";"37.764458";"20.01.2025";"#32563005"
"91139";"Магазин ""Сплав""";"Москва, 5-я Кожуховская 12";"ЮВАО";"Гранит";"Супонников М.С.";"М";"55.7050884";"37.6688518";"20.01.2025";"#32563094"
