п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"ТО№ 464ТБ";"ИП Григорьев Сергей Анатольевич/магазин с бытовой химией";"Москва г, Новослободская ул, дом 31, строение 1, этаж 1";"ВАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.78198099999999";"37.597857";"13.02.2025";"https://durnovcev2000.kaiten.ru/32562457"
"91103";"ООО ""МЦ"" Стоматология ""ТИП-ТОП"",";"Москва, ул. Озерная, д. 4/2";"ВАО";"Гранит";"Христенко Е.А.";"КВ";"55.687639";"37.465466";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814932"
"134799";"ИП Воротиленко Иван Анатольевич (Пункт выдачи заказов ОЗОН)";"Москва г, Лобачевского ул, дом № 4, корпус 1";"ВАО";"Технологии Безопасности";"Хорзов С.В.";"КВ";"55.6778553";"37.4835675";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814784"
"137434";"ООО «Время Слуха»/""Центр Слуха. Слуховые аппараты""";"Москва г, пр-кт Вернадского, д. 24А, помещ. 2/1";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6745847";"37.5005281";"13.02.2025";"https://durnovcev2000.kaiten.ru/33814881"
"90019";"Ассортида";"г.Москва, ул. Берзарина 23";"ВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.7886995";"37.4731594";"13.02.2025";"https://durnovcev2000.kaiten.ru/33681607"
"131880";"Аптека ""Планета здоровья""";"Москва , ул. Маршала Бирюзова 19";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7943661";"37.4912172";"13.02.2025";"https://durnovcev2000.kaiten.ru/33681288"
"133117";"ООО ""Стримлайн Диагностикс""/Медицинская лаборатория HELIX";"Москва г, Берзарина ул, дом 30, корпус 1";"ВАО";"Гранит";"Мозговой И.В.";"КВ";"55.790712";"37.474444";"13.02.2025";"https://durnovcev2000.kaiten.ru/33681042"
"136607";"АО фирма «Агрокомплекс» им. Н. И. Ткачева, магазин № 2001";"Москва г, Берзарина ул, дом № 30 Б";"ВАО";"Гранит";"Писаренко С.";"КВ";"55.789315";"37.471857";"13.02.2025";"https://durnovcev2000.kaiten.ru/33681001"
"ТО№ 259ТБ";"ИП Осокин Александр Гурьевич «вайлдберриз»";"Москва г, Маршала Тухачевского ул, дом 32, корпус 2";"ВАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.7859579";"37.473211";"13.02.2025";"https://durnovcev2000.kaiten.ru/33681280"
"134526";"МЦ ""CMD-анализы"", ООО ""Профмед""";"г. Москва, пр-кт Вернадского 70 А";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.67176660000001";"37.4954351";"13.02.2025";"https://durnovcev2000.kaiten.ru/37397525"
"138010";"ИП Хисамутдинов Ришат Рашитович (Кофейня ""Surf Coffee"")";"Москва ул Таганская, д. 1/2, стр. 2";"ВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.7414499";"37.6575115";"13.02.2025";"https://durnovcev2000.kaiten.ru/37024533"
"ТО-№ 985ТБ";"ИП Ионова Татьяна Юрьевна /Офис";"Москва г, ул Чаплыгина, д. 6";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7639423";"37.6458946";"13.02.2025";"https://durnovcev2000.kaiten.ru/38435959"
"90371";"Пекарня ""Буханка""";"Москва, ул. Озерная, д. 2/3,";"ВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.688556";"37.4682874";"13.02.2025";"https://durnovcev2000.kaiten.ru/32562458"
"№ 856ТБ";"ИП Кяримов Ариф Мустафа Оглы, Французская Пекарня""Френч Баккери Седелис""";"Москва г, ул Новослободская, д. 10/9, стр. 1";"ВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.7805328";"37.6002778";"05.02.2025";"https://durnovcev2000.kaiten.ru/33076867"
"131983";"Аптека ""Планета здоровья""";"Москва г, Народного Ополчения ул, дом № 22, корпус 1";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7824218";"37.4822852";"05.02.2025";"https://durnovcev2000.kaiten.ru/33681371"
"134348";"ИП Овчаров И.И/Пекарня Буханка";"Москва г, Волоколамское ш, дом 71, корпус 4, помещение 8";"ВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.818184";"37.431657";"05.02.2025";"https://durnovcev2000.kaiten.ru/33681030"
"90043";"Ави Тайм, ресторан долма";"Москва ул. Сретенка 12";"ВАО";"Гранит";"Супонников М.С.";"КВ";"55.7678784";"37.6321194";"31.01.2025";"https://durnovcev2000.kaiten.ru/28045036"
"83794";"магазин ""Яндекс""";"г. Москва, ул. Тимура Фрунзе д. 11 с. 13";"ВАО";"Аллигатор";"-";"КВ";"55.73480259999999";"37.5881103";"31.01.2025";"https://durnovcev2000.kaiten.ru/32562359"
"133881";"ООО ВКУСНО/ Пекарня Буханка";"г.Москва , ул.Фонвизина 18";"ВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.8215259";"37.5921513";"31.01.2025";"https://durnovcev2000.kaiten.ru/33668785"
"133943";"ООО «Виктория» (Медицинский офис INVITRO)";"Москва г, Бутырская ул, дом 9, корпус 1";"ВАО";"Гранит";"Мозговой И.В.";"КВ";"55.7952203";"37.5832658";"31.01.2025";"https://durnovcev2000.kaiten.ru/33668919"
"151489";"ООО «Мой Ломбард»";"Москва г, Сигнальный проезд, дом № 6А";"ВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.8509981";"37.5880456";"31.01.2025";"https://durnovcev2000.kaiten.ru/33680596"
"136636";"ООО «Гастрономъ» (Магазин «Фасоль»)";"Москва г, Волоколамское ш, дом № 24, корпус 1, помещение 17";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.811609";"37.484864";"30.01.2025";"https://durnovcev2000.kaiten.ru/33680998"
"ТО-221ТБ";"ИП Табачникова Галина Владимировна (Магазин цветов FlowFix)";"Москва г, Бутырская ул, дом 84";"ВАО";"Технологии Безопасности";"Кузнецов М.А.";"КВ";"55.80674639999999";"37.5827086";"30.01.2025";"https://durnovcev2000.kaiten.ru/33668920"
"138411";"ООО «ОЛДЕНТ»/ОЛДЕНТ";"Москва, ул Богородский Вал, д. 6, к. 1";"ВАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.80244399999999";"37.704609";"30.01.2025";"https://durnovcev2000.kaiten.ru/43219067"
"138661";"ИП Невская О.А. Пекарня Буханка";"Москва, ул Вольная, д. 28/4, к. 2";"ВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.775591";"37.737794";"30.01.2025";"https://durnovcev2000.kaiten.ru/44934473"
"ТО-181ТБ";"Нотариус Аксючиц И.В. /офис";"Москва г, Народная ул, дом 12";"ВАО";"Технологии Безопасности";"Епуре А.А.";"М";"55.7381988";"37.6503941";"29.01.2025";"https://durnovcev2000.kaiten.ru/32562962"
"83827";"ООО Регул (массажный салон Вай Тай";"Москва, Краснохолмаская наб. 13, стр. 1";"ВАО";"Аллигатор";"Супонников М.С.";"КВ";"55.73547139999999";"37.6515734";"28.01.2025";"https://durnovcev2000.kaiten.ru/33814787"
"133214";"ООО «МЕДСЕРВИС-85» (Стоматологическая клиника «СТОМАТОЛОГИЯ»)";"Москва г, Бескудниковский б-р, дом 32, корпус 6";"ВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8726129";"37.5554326";"28.01.2025";"#33668907"
"134492";"ИП Евтухова Евгения Сергеевна/(Кофейня «P3 COFFEE»)";"Москва г, Бескудниковский б-р, дом № 13";"ВАО";"Технологии Безопасности";"Дубовик А.С.";"КВ";"55.8679443";"37.5575795";"28.01.2025";"#33668905"
"130700";"ИП Сонина Екатерина Николаевна (Пекарня «Хлебница-Москва-Центр»";"Москва, ул. Авиамоторная 14";"ВАО";"Гранит";"Рощин С.С.";"КВ";"55.752409";"37.715776";"19.01.2025";"https://durnovcev2000.kaiten.ru/31421324"
"133562";"ИП Басханова Аминат Вахитовна (Ресторан быстрого питания Burger&Pizzoni)";"Московская область, Ленинский г.о, р.п. Боброво, Крымская ул, дом 5";"ВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.5356766";"37.6132699";"03.09.2024";"https://durnovcev2000.kaiten.ru/32511130"
"ТО-6033";"Бетонный завод, здание1, БСУ";"МО, Чехов, промзона Курниково";"ВАО";"Гранит";"Хорзов С.В.";"КВ";"55.1392444";"37.5680424";"19.08.2024";"-"
"134322";"ООО «Чайка»/ Пекарня Буханка";"г. Москва, пос. Филимонковское, квартал 25, д.1к10";"ВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.5582955";"37.3310277";"16.08.2024";"#32511233"
"ТО-459ТБ";"ООО ""Дом геодезии""/офис";"Московская обл, Мытищи г, Ярославское ш, дом 105";"ВАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.9138995";"37.7808848";"03.07.2024";"#33668880
